,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6200900000000003,82.4701,0.0,100.67299999999999,46.169,181.99,10.274000000000001,69.1212,16.9211
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4952,78.6247,0.0,50.0734,42.7277,41.3785,0.0,0.0,8.186630000000001
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5341,262.752,174.80200000000002,81.43,182.512,5.75939,0.0,7.81775
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2801,26.0823,11.4563,15.5288,0.0,56.0525,0.0,221.983,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.94400000000002,86.53200000000001,42.4363,7.95995,39.1876,368.728,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,71.1772,0.0,44.2142,40.2827,294.866,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3629,126.505,59.9318,44.2687,32.2595,313.407,87.9608,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.13800000000003,94.6043,148.029,21.9524,26.9039,298.665,110.01299999999999,16.5422,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3205,68.1739,139.076,54.2926,7.90724,317.279,0.0,0.0,8.9191
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34355,53.1946,0.0,0.0,0.0,5.903919999999999,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.575130000000001,45.6247,85.8399,68.2738,69.7414,176.261,7.18098,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,22.7971,0.0,4.71448,60.5276,0.0,15.3139,30.0891,589.555,0.0,11.9913,6.594989999999999
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2588099999999995,209.43200000000002,52.4098,74.1033,41.247,98.9795,96.4632,48.7817,79.6321
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8739,63.2924,250.101,67.9892,46.8885,493.914,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5934,0.0,149.018,64.3261,0.0,0.0,9.195210000000001,0.0
15,0.0,0.0,0.0,0.0,0.0,8.02471,0.0,0.0,76.5944,9.69842,104.052,90.169,93.5549,10.2469,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,34.407,0.0,0.0,153.749,30.5483,53.1604,30.67,231.394,0.0,98.2451,8.97419
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9795199999999995,47.0015,8.26703,6.55312,3.0827299999999997,929.477,13.0487,0.0,15.474
18,0.0,0.0,0.0,0.0,0.0,12.0059,0.0,1.9892599999999998,459.264,0.0,125.986,89.1349,152.548,0.0,31.4441,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1434,48.6359,65.8778,73.4408,48.5774,480.023,0.0,6.50903,0.0
