0	0	0	0	0	0	710
0	0	0	0	0	0	810
0	0	0	0	0	0	750
0	0	0	0	0	0	700
0	0	0	0	0	0	635
0	0	0	0	0	0	625
0	0	0	0	0	0	750
0	0	0	0	0	0	785
0	0	0	0	0	0	845
0	0	0	0	0	0	580
0	0	0	0	0	0	670
0	0	0	0	0	0	795
0	0	0	0	0	0	850
0	0	0	0	0	0	620
0	0	0	0	0	0	710
0	0	0	0	0	0	760
0	0	0	0	0	0	730
0	0	0	0	0	0	680
0	0	0	0	0	0	720
0	0	0	0	0	0	730
0	0	0	0	0	0	890
0	0	0	0	0	0	690
0	0	0	0	0	0	570
0	0	0	96.7117	48.4548	49.9008	790
84.8598	123.179	98.5484	6.85975	16.5932	0	1680
237.632	105.724	73.8441	8.52422	24.4633	0	1750
36.6591	115.03	104.02	33.2083	26.8593	0	1380
94.3162	227.131	121.035	0	0	0	1130
222.125	169.506	117.832	5.46236	24.0011	0	1210
17.9671	99.201	58.0314	7.12001	29.275	0	1445
205.249	305.78	242.589	39.7904	65.9367	14.8867	1860
58.9573	184.288	133.378	33.3188	38.732	0	1400
81.7493	89.6602	129.178	20.2439	12.0327	16.4485	1800
110.568	155.63	120.658	25.2376	42.5563	234.064	2250
84.7471	88.378	115.229	6.04429	24.7541	36.0838	1860
367.327	164.776	268.285	57.8692	43.5822	0	1980
135.337	60.3602	105.262	31.0088	37.0665	0	1700
516.105	310.73	176.966	76.2592	59.6013	87.5412	2200
514.675	282.945	217.502	70.7898	58.4108	113.622	1860
394.951	215.441	203.516	78.3499	54.0212	83.3162	2100
606.708	448.552	313.466	74.3786	71.5401	11.6821	2200
577.922	273.933	166.699	74.1989	73.5624	13.0448	2200
0	0	0	0	0	0	730
0	0	0	0	0	0	880
0	0	0	0	0	0	910
0	0	0	0	0	0	710
0	0	0	0	0	0	685
0	0	0	0	0	0	735
0	0	0	0	0	0	2000
0	0	0	0	0	0	2750
0	0	0	0	0	0	2750
0	0	0	0	0	0	2600
0	0	0	0	0	0	2481
0	0	0	0	0	0	2970
